歌曲名,歌手,专辑,封面,播放次数,播放得分,发行时间,时长,是否VIP,是否已购买,MV,音质
Better Now,Post Malone,beerbongs & bentleys,http://p1.music.126.net/WOS8HHKgPVuTo-6KS5SqGQ==/109951169872913709.jpg,80,32,2018/4/27,3:51,是,是,https://music.163.com/mv?id=10798803,高品质（890kbps）
玛丽,赵雷,无法长大,http://p1.music.126.net/-noYXenVuiTrlcxrCqNPjQ==/109951169213362679.jpg,79,31,2016/12/21,4:41,是,是,,高品质（874kbps）
花海,周杰伦,魔杰座,http://p1.music.126.net/HBanuZpt8SD2kf15AFa6Og==/109951163200234839.jpg,79,31,2008/10/15,4:24,否,否,https://music.163.com/mv?id=345052,高品质（882kbps）
EXEC_COSMOFLIPS/.,KOKIA,咲夜琉命 ?Ar tonelicoIII hymmnos concert side. 蒼?,http://p1.music.126.net/F4kkgDr0op7pvKyDFrgAPg==/1407374887348631.jpg,79,31,2010/1/27,3:36,否,否,,高品质（973kbps）
The Buffoon,AWOLNATION,Here Come the Runts,http://p1.music.126.net/tczGmPxzjYYLt5iX_l_avA==/109951166451614250.jpg,79,31,2018/2/2,1:53,是,是,,无损（1452kbps）
RE:I AM,Aimer,RE:I AM EP,http://p1.music.126.net/m7qSAG1SO0KyDmt6ruRcyA==/109951166886172518.jpg,78,31,2013/3/20,5:45,是,是,https://music.163.com/mv?id=5437129,无损（1688kbps）
童话镇,暗杠,童话镇,http://p1.music.126.net/xmYUW7yYS02Tc0McsGdKWA==/18345351510075909.jpg,78,31,2016/5/24,4:10,是,是,https://music.163.com/mv?id=22631916,高品质（844kbps）
LAST STARDUST,Aimer,DAWN,http://p1.music.126.net/-NpYyW2ejTr7kcb-BxwsSg==/109951166919049170.jpg,77,31,2015/7/29,5:18,是,是,https://music.163.com/mv?id=465949,无损（1058kbps）
ガラスの中の私,川嶋あい,この场所から???,http://p1.music.126.net/lZ8kXkaoDYiuqL0kala1_A==/2505786999727514.jpg,77,31,2001/12/29,4:41,否,否,,高品质（604kbps）
Sunflower,Post Malone / Swae Lee,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),http://p1.music.126.net/DuVgqyhReKqkiEXF7F10Bg==/109951169303143312.jpg,76,30,2018/12/14,2:38,是,是,https://music.163.com/mv?id=10816053,高品质（860kbps）
陀飞轮(Live),陈奕迅,DUO 陈奕迅2010演唱会,http://p1.music.126.net/7dbK-A_In2Wol92TDMYIGw==/6636652185368776.jpg,75,30,2010/1/1,6:16,是,是,https://music.163.com/mv?id=14248964,高品质（760kbps）
Call your name <Gv>,澤野弘之 / R!N/Gemie,「進撃の巨人」Season3 オリジナルサウンドトラック,http://p1.music.126.net/tUVBHTRiO2fSvvgIcMhuGA==/109951164317563085.jpg,75,30,1970/1/1,4:19,是,是,https://music.163.com/mv?id=10880378,无损（1411kbps）
デザイアドライブ,logical emotion,Touhou Project acoustic arranged instruments2,http://p1.music.126.net/wvdz10YIFcHt27WmFkgz-Q==/18559756278512087.jpg,75,30,2016/8/13,3:56,否,否,,高品质（801kbps）
踊り子,Vaundy,踊り子,http://p1.music.126.net/7yU2Xciaznad51QXfSf7-g==/109951168916977293.jpg,74,29,2021/11/17,3:50,是,是,https://music.163.com/mv?id=14481550,高品质（745kbps）
サニーサイドメロディー,EGO-WRAPPIN',BRIGHT TIME,http://p1.music.126.net/el2XepxMnMC7v7C8v7pI7g==/5968149115817233.jpg,74,29,2014/5/21,3:19,否,否,,标准（0kbps）
南方姑娘,赵雷,赵小雷,http://p2.music.126.net/btBocL7KKvl0sRZY62_BIA==/109951169213244790.jpg,73,29,2011/8/7,5:32,是,是,https://music.163.com/mv?id=455091,高品质（808kbps）
最长的电影,周杰伦,我很忙,http://p2.music.126.net/STWQpRLgUBOcXQIDPoEL_A==/109951163533011733.jpg,73,29,2007/11/2,3:55,否,否,https://music.163.com/mv?id=347005,高品质（824kbps）
優しい風が吹くあの場所で -Anime Version-,三輪学,『ヨスガノソラ』オリジナルサウンドトラック-Arrange-,http://p2.music.126.net/5Qm1m63UpylUtzElxOUuRA==/1382086130088790.jpg,73,29,2010/12/22,2:55,否,否,,高品质（651kbps）
追追追 (Live),苏打绿,十年一刻,http://p2.music.126.net/RjZ2NR34TuSmCkQOPSxluQ==/109951170517101634.jpg,72,29,2010/8/27,5:41,否,否,,无损（1044kbps）
上海一九四三,周杰伦,范特西,http://p2.music.126.net/7R4UhE4MBErGHvI-dB3Rzg==/109951165606034156.jpg,72,29,2001/9/14,3:15,否,否,https://music.163.com/mv?id=506028,高品质（921kbps）
幽雅に咲かせ、墨染の桜,TAMUSIC,ピアノのための東方夜想曲集「Shangri－La」,http://p2.music.126.net/duR66LZP4TMN9RI9dft2YA==/1649267441700215.jpg,72,29,2009/6/28,1:55,否,否,,高品质（519kbps）
